Date,Open,High,Low,Close,Adj Close,Volume,macd,sig,hist,buy_price,sell_price,trigger_signal,position,holding,cash_holding,holding_value,market_value,portfolio_value,daily_return,cumulative_ret
2020-09-25,36.75,36.75,35.10,35.15,34.97,11923000,-0.28,-0.46,0.19,,,0.00,1.00,2000.00,25000.00,70300.00,0.00,95300.00,-0.02,-0.05
2020-09-28,35.35,35.65,33.65,33.85,33.67,15484702,-0.43,-0.45,0.03,,,0.00,1.00,2000.00,25000.00,67700.00,0.00,92700.00,-0.03,-0.07
2020-09-29,34.30,34.70,33.40,34.20,34.02,3903450,-0.51,-0.46,-0.05,,,-1.00,1.00,2000.00,25000.00,68400.00,0.00,93400.00,0.01,-0.07
2020-09-30,33.95,34.95,33.70,34.95,34.77,4834000,-0.51,-0.47,-0.04,,33.95,0.00,0.00,0.00,92900.00,0.00,0.00,92900.00,-0.01,-0.07
2020-10-05,35.30,35.40,34.20,34.25,34.07,3056000,-0.56,-0.49,-0.07,,,0.00,0.00,0.00,92900.00,0.00,0.00,92900.00,0.00,-0.07
2020-10-06,34.25,35.00,34.05,35.00,34.82,5163000,-0.54,-0.50,-0.04,,,0.00,0.00,0.00,92900.00,0.00,0.00,92900.00,0.00,-0.07
2020-10-07,34.80,34.95,34.05,34.90,34.72,4210000,-0.52,-0.50,-0.01,,,0.00,0.00,0.00,92900.00,0.00,0.00,92900.00,0.00,-0.07
2020-10-08,35.10,35.30,34.25,34.55,34.37,3374400,-0.52,-0.51,-0.02,,,0.00,0.00,0.00,92900.00,0.00,0.00,92900.00,0.00,-0.07
2020-10-09,34.75,37.65,34.50,37.00,36.81,20517246,-0.33,-0.47,0.14,,,1.00,0.00,0.00,92900.00,0.00,0.00,92900.00,0.00,-0.07
2020-10-12,37.20,38.80,37.20,37.85,37.65,17576516,-0.10,-0.40,0.29,37.20,,0.00,1.00,2000.00,18500.00,75700.00,75700.00,94200.00,0.01,-0.06
2020-10-14,37.80,39.20,37.30,38.60,38.40,13678600,0.13,-0.29,0.43,,,0.00,1.00,2000.00,18500.00,77200.00,0.00,95700.00,0.02,-0.04
2020-10-15,38.35,38.80,38.00,38.65,38.45,6565889,0.32,-0.17,0.49,,,0.00,1.00,2000.00,18500.00,77300.00,0.00,95800.00,0.00,-0.04
2020-10-16,38.95,39.15,37.70,38.30,38.10,5290700,0.44,-0.05,0.49,,,0.00,1.00,2000.00,18500.00,76600.00,0.00,95100.00,-0.01,-0.05
